HABITACION,DOOR,TYPE
HAB01,DOOR01
HAB02,DOOR02
HAB03,DOOR03
HAB04,DOOR04
HAB05,DOOR05
HAB06,DOOR06
HAB07,DOOR07
HAB08,DOOR08
HAB09,DOOR09
HAB10,DOOR10
HAB11,DOOR11
HAB12,DOOR12
HAB13,DOOR13
HAB14,SEDAN
HAB15,SEDAN
HAB16,DOOR16
HAB17,DOOR17
HAB18,SEDAN
HAB19,SEDAN
HAB20,DOOR20
HAB21,DOOR21
HAB22,SEDAN
HAB23,SEDAN
HAB24,DOOR24
HAB25,DOOR25
HAB26,DOOR26
HAB27,DOOR27
HAB28,DOOR28
HAB29,DOOR29
HAB30,DOOR30
HAB31,DOOR31
HAB32,DOOR32
HAB33,DOOR33
HAB34,DOOR34
HAB35,DOOR35
HAB36,DOOR36
HAB37,DOOR37
HAB38,DOOR38
HAB39,DOOR39
HAB40,DOOR40
HAB41,DOOR41
HAB42,DOOR42
HAB43,DOOR43
HAB44,DOOR44
HAB45,DOOR45
HAB46,DOOR46
HAB47,DOOR47
HAB48,DOOR48
HAB49,MOTO
HAB50,SEDAN
HAB51,MOTO
HAB52,MOTO
HAB53,DOOR53
HAB54,DOOR54
HAB55,DOOR55
HAB56,DOOR56
HAB57,DOOR57
HAB58,DOOR58
HAB59,DOOR59
HAB60,DOOR60
HAB61,DOOR61
HAB62,DOOR62
HAB63,DOOR63
HAB64,DOOR64
HAB65,DOOR65
HAB66,DOOR66
HAB67,DOOR67
HAB68,DOOR68
HAB69,DOOR69
HAB70,DOOR70
HAB71,DOOR71
HAB72,DOOR72
HAB73,DOOR73
HAB74,DOOR74
HAB75,DOOR75
HAB76,DOOR76
HAB77,DOOR77
HAB78,DOOR78
